,Total number of flower in 2 years
Abutilon.sp,80
Aechmea.cf.gamosepala,74
Aechmea.cf.organensis,104
Aechmea.distichantha,60
Aechmea.nudicaulis,19
Alstroemeria.inodora,440
Aphelandra.colorata,5424
Besleria.longimucronata,681
Billbergia.cf.amoena,359
Canistrum.perplexum,65817
Canna.panniculata,60
Centropogon.cornutus,2382
Edmundoa.cf.lindenii,123
Erythrina.speciosa,54924
Fuchsia.regia,10443
Geissomeria.sp.,81
Inga.sessilis,1195
Justicia.sp1,76
Justicia.sp2,65
Lantana.camara,600
Macrocarpaea.rubra,1095
Manettia.cordifolia,1160
Mendoncia.sp,18
Mutisia.speciosa,18
Nematanthus.fluminensis,660
Nematanthus.fornix,555
Nematanthus.gregarius,19
Nematanthus.maculatus,26
Nemathantus.fritschii,509
Nidularium.innocentii,1364
Nidularium.longiflorum,207
Nidularium.procerum,410
Nidularium.rutilans,56
Psittacanthus.dichroos,71
Psychotria.leiocarpa,2721
Pyrostegia.venusta,132
Quesnelia.sp.,37
Sinningia.cooperi,286
Sinningia.elatior,339
Sinningia.glazioviana,312
Siphocampylus.convolvulaceus,224
Siphocampylus.longipediunculatus,110
Siphocampylus.sp,163
Spirotheca.rivieri,2405
Tillandsia.dura,6
Tillandsia.geminiflora,30
Tillandsia.sp,60
Tillandsia.stricta,289
Vriesea.carinata,488
Vriesea.erythrodactylon,393
Vriesea.incurvata,179
Vriesea.inflata,34
Vriesea.simplex,58
Vriesea.sp,101
Wittrockia.superba,23